datetime,height_m,type
2010-01-27 02:47:00,1.27,LW
2010-01-27 08:53:00,4.13,HW
2010-01-27 15:24:00,1.14,LW
2010-01-27 21:36:00,4.18,HW
2010-01-28 03:59:00,1.03,LW
2010-01-28 10:03:00,4.35,HW
2010-01-28 16:28:00,0.99,LW
2010-01-28 22:35:00,4.40,HW
2010-01-29 05:01:00,0.78,LW
2010-01-29 11:06:00,4.57,HW
2010-01-29 17:23:00,0.85,LW
2010-01-29 23:26:00,4.60,HW
2010-01-30 05:57:00,0.55,LW
2010-01-30 12:02:00,4.75,HW
2010-01-30 18:12:00,0.73,LW
2010-01-31 00:14:00,4.76,HW
2010-01-31 06:49:00,0.38,LW
2010-01-31 12:54:00,4.87,HW
2010-01-31 18:56:00,0.65,LW
2010-02-01 01:00:00,4.89,HW
2010-02-01 07:37:00,0.27,LW
2010-02-01 13:44:00,4.92,HW
2010-02-01 19:38:00,0.62,LW
2010-02-02 01:45:00,4.96,HW
2010-02-02 08:22:00,0.25,LW
2010-02-02 14:30:00,4.87,HW
2010-02-02 20:18:00,0.65,LW
2010-02-03 02:28:00,4.95,HW
2010-02-03 09:04:00,0.32,LW
2010-02-03 15:13:00,4.74,HW
2010-02-03 20:57:00,0.73,LW
2010-02-04 03:10:00,4.86,HW
2010-02-04 09:43:00,0.48,LW
2010-02-04 15:53:00,4.55,HW
2010-02-04 21:36:00,0.86,LW
2010-02-05 03:52:00,4.70,HW
2010-02-05 10:22:00,0.70,LW
2010-02-05 16:31:00,4.33,HW
2010-02-05 22:18:00,1.04,LW
2010-02-06 04:40:00,4.46,HW
2010-02-06 11:09:00,0.97,LW
2010-02-06 17:18:00,4.09,HW
2010-02-06 23:10:00,1.25,LW
2010-02-07 05:41:00,4.18,HW
2010-02-07 12:11:00,1.25,LW
2010-02-07 18:24:00,3.87,HW
2010-02-08 00:31:00,1.45,LW
2010-02-08 07:00:00,3.94,HW
2010-02-08 13:26:00,1.45,LW
2010-02-08 19:43:00,3.77,HW
2010-02-09 02:03:00,1.47,LW
2010-02-09 08:24:00,3.87,HW
2010-02-09 14:41:00,1.50,LW
2010-02-09 21:00:00,3.85,HW
2010-02-10 03:26:00,1.32,LW
2010-02-10 09:47:00,3.99,HW
2010-02-10 15:53:00,1.41,LW
2010-02-10 22:07:00,4.03,HW
2010-02-11 04:36:00,1.09,LW
2010-02-11 10:48:00,4.17,HW
2010-02-11 16:47:00,1.26,LW
2010-02-11 22:57:00,4.22,HW
2010-02-12 05:24:00,0.90,LW
2010-02-12 11:33:00,4.31,HW
2010-02-12 17:27:00,1.12,LW
2010-02-12 23:34:00,4.36,HW
2010-02-13 06:00:00,0.77,LW
2010-02-13 12:07:00,4.39,HW
2010-02-13 18:00:00,1.00,LW
2010-02-14 00:03:00,4.48,HW
2010-02-14 06:31:00,0.69,LW
2010-02-14 12:35:00,4.46,HW
2010-02-14 18:31:00,0.90,LW
2010-02-15 00:32:00,4.60,HW
2010-02-15 07:00:00,0.63,LW
2010-02-15 13:02:00,4.53,HW
2010-02-15 19:00:00,0.81,LW
2010-02-16 01:03:00,4.69,HW
2010-02-16 07:28:00,0.58,LW
2010-02-16 13:33:00,4.59,HW
2010-02-16 19:29:00,0.75,LW
2010-02-17 01:35:00,4.73,HW
2010-02-17 07:57:00,0.56,LW
2010-02-17 14:06:00,4.58,HW
2010-02-17 20:00:00,0.74,LW
2010-02-18 02:07:00,4.69,HW
2010-02-18 08:27:00,0.59,LW
2010-02-18 14:37:00,4.51,HW
2010-02-18 20:32:00,0.78,LW
2010-02-19 02:36:00,4.60,HW
2010-02-19 08:57:00,0.67,LW
2010-02-19 15:06:00,4.39,HW
2010-02-19 21:04:00,0.86,LW
2010-02-20 03:03:00,4.50,HW
2010-02-20 09:28:00,0.78,LW
2010-02-20 15:34:00,4.28,HW
2010-02-20 21:38:00,0.96,LW
2010-02-21 03:38:00,4.40,HW
2010-02-21 10:03:00,0.92,LW
2010-02-21 16:11:00,4.17,HW
2010-02-21 22:19:00,1.08,LW
2010-02-22 04:28:00,4.26,HW
2010-02-22 10:51:00,1.09,LW
2010-02-22 17:05:00,4.01,HW
2010-02-22 23:17:00,1.23,LW
2010-02-23 05:34:00,4.07,HW
2010-02-23 12:01:00,1.28,LW
2010-02-23 18:15:00,3.86,HW
2010-02-24 00:42:00,1.34,LW
2010-02-24 07:02:00,3.96,HW
2010-02-24 13:39:00,1.35,LW
2010-02-24 19:54:00,3.86,HW
2010-02-25 02:25:00,1.22,LW
2010-02-25 08:36:00,4.08,HW
2010-02-25 15:06:00,1.22,LW
2010-02-25 21:15:00,4.09,HW
2010-02-26 03:44:00,0.94,LW
2010-02-26 09:54:00,4.34,HW
2010-02-26 16:14:00,1.00,LW
2010-02-26 22:19:00,4.37,HW
2010-02-27 04:50:00,0.65,LW
2010-02-27 10:58:00,4.59,HW
2010-02-27 17:08:00,0.81,LW
2010-02-27 23:11:00,4.61,HW
2010-02-28 05:45:00,0.43,LW
2010-02-28 11:52:00,4.77,HW
2010-02-28 17:54:00,0.68,LW
2010-02-28 23:58:00,4.80,HW
2010-03-01 06:33:00,0.28,LW
2010-03-01 12:40:00,4.87,HW
2010-03-01 18:36:00,0.59,LW
2010-03-02 00:42:00,4.93,HW
2010-03-02 07:17:00,0.22,LW
2010-03-02 13:25:00,4.90,HW
2010-03-02 19:16:00,0.55,LW
2010-03-03 01:26:00,4.99,HW
2010-03-03 07:58:00,0.25,LW
2010-03-03 14:07:00,4.84,HW
2010-03-03 19:55:00,0.57,LW
2010-03-04 02:09:00,4.97,HW
2010-03-04 08:35:00,0.38,LW
2010-03-04 14:45:00,4.72,HW
2010-03-04 20:33:00,0.65,LW
2010-03-05 02:49:00,4.86,HW
2010-03-05 09:09:00,0.57,LW
2010-03-05 15:19:00,4.54,HW
2010-03-05 21:10:00,0.77,LW
2010-03-06 03:29:00,4.67,HW
2010-03-06 09:43:00,0.81,LW
2010-03-06 15:51:00,4.33,HW
2010-03-06 21:49:00,0.95,LW
2010-03-07 04:12:00,4.41,HW
2010-03-07 10:24:00,1.09,LW
2010-03-07 16:32:00,4.10,HW
2010-03-07 22:36:00,1.17,LW
2010-03-08 05:07:00,4.09,HW
2010-03-08 11:20:00,1.40,LW
2010-03-08 17:29:00,3.83,HW
2010-03-08 23:51:00,1.40,LW
2010-03-09 06:26:00,3.82,HW
2010-03-09 12:44:00,1.62,LW
2010-03-09 19:01:00,3.66,HW
2010-03-10 01:33:00,1.46,LW
2010-03-10 07:57:00,3.75,HW
2010-03-10 14:11:00,1.64,LW
2010-03-10 20:25:00,3.73,HW
2010-03-11 02:59:00,1.30,LW
2010-03-11 09:22:00,3.91,HW
2010-03-11 15:27:00,1.47,LW
2010-03-11 21:35:00,3.95,HW
2010-03-12 04:09:00,1.06,LW
2010-03-12 10:23:00,4.14,HW
2010-03-12 16:22:00,1.26,LW
2010-03-12 22:27:00,4.17,HW
2010-03-13 04:56:00,0.87,LW
2010-03-13 11:07:00,4.31,HW
2010-03-13 17:02:00,1.08,LW
2010-03-13 23:06:00,4.35,HW
2010-03-14 05:32:00,0.75,LW
2010-03-14 11:41:00,4.41,HW
2010-03-14 17:35:00,0.95,LW
2010-03-14 23:38:00,4.48,HW
2010-03-15 06:02:00,0.67,LW
2010-03-15 12:08:00,4.49,HW
2010-03-15 18:05:00,0.85,LW
2010-03-16 00:06:00,4.59,HW
2010-03-16 06:30:00,0.61,LW
2010-03-16 12:34:00,4.57,HW
2010-03-16 18:34:00,0.75,LW
2010-03-17 00:36:00,4.68,HW
2010-03-17 06:58:00,0.56,LW
2010-03-17 13:04:00,4.63,HW
2010-03-17 19:04:00,0.68,LW
2010-03-18 01:09:00,4.72,HW
2010-03-18 07:27:00,0.54,LW
2010-03-18 13:37:00,4.64,HW
2010-03-18 19:37:00,0.65,LW
2010-03-19 01:42:00,4.68,HW
2010-03-19 07:58:00,0.57,LW
2010-03-19 14:08:00,4.57,HW
2010-03-19 20:09:00,0.69,LW
2010-03-20 02:12:00,4.60,HW
2010-03-20 08:29:00,0.65,LW
2010-03-20 14:36:00,4.45,HW
2010-03-20 20:42:00,0.75,LW
2010-03-21 02:41:00,4.50,HW
2010-03-21 09:01:00,0.77,LW
2010-03-21 15:04:00,4.34,HW
2010-03-21 21:17:00,0.84,LW
2010-03-22 03:17:00,4.39,HW
2010-03-22 09:38:00,0.93,LW
2010-03-22 15:44:00,4.20,HW
2010-03-22 22:01:00,0.96,LW
2010-03-23 04:11:00,4.23,HW
2010-03-23 10:29:00,1.13,LW
2010-03-23 16:41:00,4.02,HW
2010-03-23 23:01:00,1.11,LW
2010-03-24 05:23:00,4.05,HW
2010-03-24 11:42:00,1.34,LW
2010-03-24 17:57:00,3.86,HW
2010-03-25 00:33:00,1.20,LW
2010-03-25 06:55:00,3.97,HW
2010-03-25 13:23:00,1.39,LW
2010-03-25 19:34:00,3.88,HW
2010-03-26 02:12:00,1.06,LW
2010-03-26 08:25:00,4.12,HW
2010-03-26 14:49:00,1.22,LW
2010-03-26 20:54:00,4.11,HW
2010-03-27 03:29:00,0.79,LW
2010-03-27 09:42:00,4.38,HW
2010-03-27 15:55:00,0.98,LW
2010-03-27 21:57:00,4.39,HW
2010-03-28 04:32:00,0.53,LW
2010-03-28 10:43:00,4.60,HW
2010-03-28 16:46:00,0.79,LW
2010-03-28 22:50:00,4.62,HW
2010-03-29 05:24:00,0.37,LW
2010-03-29 11:34:00,4.74,HW
2010-03-29 17:30:00,0.66,LW
2010-03-29 23:36:00,4.78,HW
2010-03-30 06:10:00,0.30,LW
2010-03-30 12:18:00,4.80,HW
2010-03-30 18:12:00,0.57,LW
2010-03-31 00:20:00,4.89,HW
2010-03-31 06:51:00,0.30,LW
2010-03-31 12:59:00,4.81,HW
2010-03-31 18:53:00,0.52,LW
2010-04-01 01:05:00,4.93,HW
2010-04-01 07:29:00,0.37,LW
2010-04-01 13:38:00,4.77,HW
2010-04-01 19:34:00,0.54,LW
2010-04-02 01:49:00,4.89,HW
2010-04-02 08:04:00,0.52,LW
2010-04-02 14:14:00,4.67,HW
2010-04-02 20:13:00,0.61,LW
2010-04-03 02:30:00,4.76,HW
2010-04-03 08:37:00,0.71,LW
2010-04-03 14:47:00,4.52,HW
2010-04-03 20:50:00,0.74,LW
2010-04-04 03:10:00,4.56,HW
2010-04-04 09:11:00,0.93,LW
2010-04-04 15:19:00,4.34,HW
2010-04-04 21:28:00,0.89,LW
2010-04-05 03:52:00,4.31,HW
2010-04-05 09:50:00,1.18,LW
2010-04-05 15:58:00,4.13,HW
2010-04-05 22:13:00,1.08,LW
2010-04-06 04:41:00,4.03,HW
2010-04-06 10:41:00,1.44,LW
2010-04-06 16:49:00,3.88,HW
2010-04-06 23:20:00,1.28,LW
2010-04-07 05:50:00,3.78,HW
2010-04-07 11:56:00,1.66,LW
2010-04-07 18:09:00,3.67,HW
2010-04-08 00:55:00,1.37,LW
2010-04-08 07:20:00,3.70,HW
2010-04-08 13:31:00,1.69,LW
2010-04-08 19:42:00,3.69,HW
2010-04-09 02:17:00,1.26,LW
2010-04-09 08:39:00,3.85,HW
2010-04-09 14:47:00,1.52,LW
2010-04-09 20:50:00,3.88,HW
2010-04-10 03:21:00,1.07,LW
2010-04-10 09:40:00,4.07,HW
2010-04-10 15:43:00,1.29,LW
2010-04-10 21:44:00,4.10,HW
2010-04-11 04:11:00,0.89,LW
2010-04-11 10:26:00,4.26,HW
2010-04-11 16:26:00,1.10,LW
2010-04-11 22:26:00,4.29,HW
2010-04-12 04:51:00,0.77,LW
2010-04-12 11:02:00,4.38,HW
2010-04-12 17:02:00,0.95,LW
2010-04-12 23:02:00,4.42,HW
2010-04-13 05:24:00,0.70,LW
2010-04-13 11:32:00,4.48,HW
2010-04-13 17:34:00,0.84,LW
2010-04-13 23:34:00,4.53,HW
2010-04-14 05:55:00,0.65,LW
2010-04-14 12:02:00,4.56,HW
2010-04-14 18:06:00,0.75,LW
2010-04-15 00:07:00,4.61,HW
2010-04-15 06:26:00,0.60,LW
2010-04-15 12:33:00,4.62,HW
2010-04-15 18:40:00,0.67,LW
2010-04-16 00:42:00,4.65,HW
2010-04-16 06:58:00,0.58,LW
2010-04-16 13:07:00,4.64,HW
2010-04-16 19:15:00,0.63,LW
2010-04-17 01:19:00,4.64,HW
2010-04-17 07:32:00,0.60,LW
2010-04-17 13:41:00,4.59,HW
2010-04-17 19:51:00,0.63,LW
2010-04-18 01:55:00,4.58,HW
2010-04-18 08:07:00,0.68,LW
2010-04-18 14:14:00,4.49,HW
2010-04-18 20:28:00,0.67,LW
2010-04-19 02:33:00,4.49,HW
2010-04-19 08:44:00,0.80,LW
2010-04-19 14:50:00,4.38,HW
2010-04-19 21:09:00,0.74,LW
2010-04-20 03:19:00,4.38,HW
2010-04-20 09:27:00,0.96,LW
2010-04-20 15:36:00,4.24,HW
2010-04-20 21:57:00,0.84,LW
2010-04-21 04:16:00,4.24,HW
2010-04-21 10:22:00,1.15,LW
2010-04-21 16:34:00,4.08,HW
2010-04-21 23:02:00,0.95,LW
2010-04-22 05:26:00,4.11,HW
2010-04-22 11:34:00,1.31,LW
2010-04-22 17:47:00,3.97,HW
2010-04-23 00:31:00,0.98,LW
2010-04-23 06:48:00,4.08,HW
2010-04-23 13:06:00,1.33,LW
2010-04-23 19:15:00,4.00,HW
2010-04-24 01:58:00,0.85,LW
2010-04-24 08:11:00,4.20,HW
2010-04-24 14:26:00,1.18,LW
2010-04-24 20:29:00,4.19,HW
2010-04-25 03:09:00,0.66,LW
2010-04-25 09:22:00,4.39,HW
2010-04-25 15:29:00,0.99,LW
2010-04-25 21:31:00,4.39,HW
2010-04-26 04:08:00,0.52,LW
2010-04-26 10:20:00,4.54,HW
2010-04-26 16:20:00,0.83,LW
2010-04-26 22:25:00,4.56,HW
2010-04-27 04:59:00,0.46,LW
2010-04-27 11:09:00,4.62,HW
2010-04-27 17:05:00,0.71,LW
2010-04-27 23:13:00,4.68,HW
2010-04-28 05:43:00,0.46,LW
2010-04-28 11:52:00,4.66,HW
2010-04-28 17:49:00,0.62,LW
2010-04-28 23:59:00,4.75,HW
2010-04-29 06:22:00,0.50,LW
2010-04-29 12:31:00,4.68,HW
2010-04-29 18:33:00,0.56,LW
2010-04-30 00:45:00,4.78,HW
2010-04-30 07:00:00,0.57,LW
2010-04-30 13:09:00,4.66,HW
2010-04-30 19:16:00,0.56,LW
2010-05-01 01:30:00,4.74,HW
2010-05-01 07:37:00,0.70,LW
2010-05-01 13:45:00,4.60,HW
2010-05-01 19:58:00,0.62,LW
2010-05-02 02:13:00,4.62,HW
2010-05-02 08:12:00,0.85,LW
2010-05-02 14:20:00,4.50,HW
2010-05-02 20:36:00,0.72,LW
2010-05-03 02:53:00,4.45,HW
2010-05-03 08:46:00,1.02,LW
2010-05-03 14:55:00,4.36,HW
2010-05-03 21:14:00,0.84,LW
2010-05-04 03:33:00,4.25,HW
2010-05-04 09:24:00,1.20,LW
2010-05-04 15:33:00,4.20,HW
2010-05-04 21:56:00,0.98,LW
2010-05-05 04:18:00,4.04,HW
2010-05-05 10:10:00,1.38,LW
2010-05-05 16:19:00,4.01,HW
2010-05-05 22:51:00,1.11,LW
2010-05-06 05:13:00,3.85,HW
2010-05-06 11:08:00,1.55,LW
2010-05-06 17:17:00,3.83,HW
2010-05-07 00:04:00,1.21,LW
2010-05-07 06:28:00,3.74,HW
2010-05-07 12:25:00,1.64,LW
2010-05-07 18:41:00,3.75,HW
2010-05-08 01:22:00,1.20,LW
2010-05-08 07:44:00,3.80,HW
2010-05-08 13:51:00,1.56,LW
2010-05-08 19:56:00,3.84,HW
2010-05-09 02:26:00,1.09,LW
2010-05-09 08:45:00,3.97,HW
2010-05-09 14:53:00,1.38,LW
2010-05-09 20:53:00,4.01,HW
2010-05-10 03:19:00,0.96,LW
2010-05-10 09:34:00,4.15,HW
2010-05-10 15:41:00,1.19,LW
2010-05-10 21:40:00,4.18,HW
2010-05-11 04:04:00,0.86,LW
2010-05-11 10:16:00,4.30,HW
2010-05-11 16:23:00,1.03,LW
2010-05-11 22:21:00,4.31,HW
2010-05-12 04:43:00,0.79,LW
2010-05-12 10:53:00,4.42,HW
2010-05-12 17:01:00,0.90,LW
2010-05-12 23:00:00,4.42,HW
2010-05-13 05:20:00,0.74,LW
2010-05-13 11:28:00,4.50,HW
2010-05-13 17:39:00,0.79,LW
2010-05-13 23:38:00,4.51,HW
2010-05-14 05:57:00,0.70,LW
2010-05-14 12:04:00,4.57,HW
2010-05-14 18:18:00,0.70,LW
2010-05-15 00:18:00,4.58,HW
2010-05-15 06:34:00,0.68,LW
2010-05-15 12:41:00,4.61,HW
2010-05-15 18:58:00,0.62,LW
2010-05-16 01:01:00,4.62,HW
2010-05-16 07:12:00,0.68,LW
2010-05-16 13:20:00,4.60,HW
2010-05-16 19:39:00,0.58,LW
2010-05-17 01:46:00,4.61,HW
2010-05-17 07:52:00,0.72,LW
2010-05-17 14:01:00,4.55,HW
2010-05-17 20:22:00,0.58,LW
2010-05-18 02:34:00,4.56,HW
2010-05-18 08:35:00,0.81,LW
2010-05-18 14:44:00,4.47,HW
2010-05-18 21:08:00,0.61,LW
2010-05-19 03:24:00,4.47,HW
2010-05-19 09:22:00,0.94,LW
2010-05-19 15:32:00,4.37,HW
2010-05-19 22:01:00,0.67,LW
2010-05-20 04:19:00,4.36,HW
2010-05-20 10:16:00,1.08,LW
2010-05-20 16:27:00,4.27,HW
2010-05-20 23:06:00,0.73,LW
2010-05-21 05:23:00,4.25,HW
2010-05-21 11:21:00,1.20,LW
2010-05-21 17:34:00,4.18,HW
2010-05-22 00:22:00,0.75,LW
2010-05-22 06:36:00,4.21,HW
2010-05-22 12:40:00,1.25,LW
2010-05-22 18:50:00,4.18,HW
2010-05-23 01:37:00,0.71,LW
2010-05-23 07:49:00,4.25,HW
2010-05-23 13:56:00,1.17,LW
2010-05-23 20:01:00,4.25,HW
2010-05-24 02:42:00,0.66,LW
2010-05-24 08:55:00,4.33,HW
2010-05-24 15:00:00,1.05,LW
2010-05-24 21:03:00,4.35,HW
2010-05-25 03:41:00,0.65,LW
2010-05-25 09:53:00,4.40,HW
2010-05-25 15:54:00,0.94,LW
2010-05-25 22:01:00,4.43,HW
2010-05-26 04:32:00,0.68,LW
2010-05-26 10:44:00,4.45,HW
2010-05-26 16:44:00,0.83,LW
2010-05-26 22:54:00,4.50,HW
2010-05-27 05:16:00,0.72,LW
2010-05-27 11:28:00,4.49,HW
2010-05-27 17:32:00,0.72,LW
2010-05-27 23:44:00,4.56,HW
2010-05-28 05:57:00,0.76,LW
2010-05-28 12:07:00,4.53,HW
2010-05-28 18:18:00,0.64,LW
2010-05-29 00:30:00,4.59,HW
2010-05-29 06:37:00,0.80,LW
2010-05-29 12:44:00,4.56,HW
2010-05-29 19:04:00,0.61,LW
2010-05-30 01:14:00,4.57,HW
2010-05-30 07:15:00,0.86,LW
2010-05-30 13:21:00,4.55,HW
2010-05-30 19:46:00,0.63,LW
2010-05-31 01:55:00,4.51,HW
2010-05-31 07:52:00,0.95,LW
2010-05-31 13:57:00,4.50,HW
2010-05-31 20:25:00,0.69,LW
2010-06-01 02:35:00,4.40,HW
2010-06-01 08:27:00,1.04,LW
2010-06-01 14:34:00,4.42,HW
2010-06-01 21:01:00,0.77,LW
2010-06-02 03:13:00,4.28,HW
2010-06-02 09:03:00,1.13,LW
2010-06-02 15:12:00,4.33,HW
2010-06-02 21:39:00,0.84,LW
2010-06-03 03:53:00,4.15,HW
2010-06-03 09:43:00,1.23,LW
2010-06-03 15:52:00,4.21,HW
2010-06-03 22:22:00,0.93,LW
2010-06-04 04:37:00,4.01,HW
2010-06-04 10:29:00,1.35,LW
2010-06-04 16:36:00,4.08,HW
2010-06-04 23:13:00,1.03,LW
2010-06-05 05:27:00,3.90,HW
2010-06-05 11:22:00,1.46,LW
2010-06-05 17:29:00,3.96,HW
2010-06-06 00:13:00,1.10,LW
2010-06-06 06:31:00,3.84,HW
2010-06-06 12:25:00,1.52,LW
2010-06-06 18:36:00,3.89,HW
2010-06-07 01:19:00,1.12,LW
2010-06-07 07:40:00,3.89,HW
2010-06-07 13:40:00,1.47,LW
2010-06-07 19:49:00,3.93,HW
2010-06-08 02:20:00,1.07,LW
2010-06-08 08:39:00,4.03,HW
2010-06-08 14:47:00,1.32,LW
2010-06-08 20:48:00,4.05,HW
2010-06-09 03:14:00,0.99,LW
2010-06-09 09:29:00,4.18,HW
2010-06-09 15:41:00,1.14,LW
2010-06-09 21:40:00,4.19,HW
2010-06-10 04:04:00,0.92,LW
2010-06-10 10:15:00,4.32,HW
2010-06-10 16:30:00,0.98,LW
2010-06-10 22:27:00,4.32,HW
2010-06-11 04:50:00,0.86,LW
2010-06-11 10:58:00,4.43,HW
2010-06-11 17:16:00,0.84,LW
2010-06-11 23:14:00,4.44,HW
2010-06-12 05:33:00,0.82,LW
2010-06-12 11:40:00,4.53,HW
2010-06-12 18:01:00,0.71,LW
2010-06-13 00:01:00,4.56,HW
2010-06-13 06:16:00,0.77,LW
2010-06-13 12:21:00,4.61,HW
2010-06-13 18:47:00,0.59,LW
2010-06-14 00:50:00,4.65,HW
2010-06-14 06:59:00,0.74,LW
2010-06-14 13:05:00,4.66,HW
2010-06-14 19:33:00,0.50,LW
2010-06-15 01:41:00,4.70,HW
2010-06-15 07:42:00,0.73,LW
2010-06-15 13:50:00,4.68,HW
2010-06-15 20:20:00,0.44,LW
2010-06-16 02:32:00,4.70,HW
2010-06-16 08:27:00,0.77,LW
2010-06-16 14:36:00,4.65,HW
2010-06-16 21:09:00,0.43,LW
2010-06-17 03:22:00,4.64,HW
2010-06-17 09:14:00,0.86,LW
2010-06-17 15:23:00,4.60,HW
2010-06-17 22:01:00,0.47,LW
2010-06-18 04:14:00,4.53,HW
2010-06-18 10:04:00,0.96,LW
2010-06-18 16:14:00,4.52,HW
2010-06-18 22:58:00,0.54,LW
2010-06-19 05:10:00,4.40,HW
2010-06-19 10:59:00,1.08,LW
2010-06-19 17:13:00,4.42,HW
2010-06-20 00:01:00,0.63,LW
2010-06-20 06:13:00,4.29,HW
2010-06-20 12:05:00,1.19,LW
2010-06-20 18:21:00,4.32,HW
2010-06-21 01:08:00,0.73,LW
2010-06-21 07:19:00,4.23,HW
2010-06-21 13:21:00,1.22,LW
2010-06-21 19:30:00,4.26,HW
2010-06-22 02:11:00,0.82,LW
2010-06-22 08:23:00,4.21,HW
2010-06-22 14:30:00,1.18,LW
2010-06-22 20:37:00,4.24,HW
2010-06-23 03:11:00,0.90,LW
2010-06-23 09:25:00,4.23,HW
2010-06-23 15:32:00,1.09,LW
2010-06-23 21:43:00,4.27,HW
2010-06-24 04:07:00,0.97,LW
2010-06-24 10:22:00,4.29,HW
2010-06-24 16:30:00,0.96,LW
2010-06-24 22:44:00,4.33,HW
2010-06-25 04:56:00,1.00,LW
2010-06-25 11:10:00,4.36,HW
2010-06-25 17:23:00,0.83,LW
2010-06-25 23:36:00,4.40,HW
2010-06-26 05:40:00,0.99,LW
2010-06-26 11:50:00,4.44,HW
2010-06-26 18:11:00,0.72,LW
2010-06-27 00:21:00,4.45,HW
2010-06-27 06:19:00,0.97,LW
2010-06-27 12:26:00,4.50,HW
2010-06-27 18:54:00,0.65,LW
2010-06-28 01:00:00,4.47,HW
2010-06-28 06:57:00,0.96,LW
2010-06-28 13:00:00,4.55,HW
2010-06-28 19:34:00,0.63,LW
2010-06-29 01:37:00,4.47,HW
2010-06-29 07:33:00,0.96,LW
2010-06-29 13:36:00,4.57,HW
2010-06-29 20:09:00,0.64,LW
2010-06-30 02:13:00,4.44,HW
2010-06-30 08:07:00,0.97,LW
2010-06-30 14:12:00,4.56,HW
2010-06-30 20:42:00,0.67,LW
